event_id,date,location,Region,customer,device_family,current_ios,severity,outage,psirts_current_ios,bugs_current_ios
d976b8aa-e771-4da3-aed3-c0d64fd86533,10/23/2020,Holzensingen,ASEAM,Dabvine,Cisco ISR G1,CISCO2951/K9---15.5(3)M7---2,P3,FALSE,CVE-2019-1748,CSCvd73487
39f6ec2a-62d0-419a-bebd-ba363d751244,1/16/2021,Altenau,APCG,Kanoodle,Cisco ISR G2,WS-C3750X-48PF-S---12.2(55)SE5---2,P3,FALSE,CVE-2019-12657,CSCvn29244
f63f26a8-03fc-4baa-9702-8d8dbb24b0e0,12/27/2020,Trecarw,ASEAM,Feedfire,Cisco Catalyst 2960 Series,CISCO2951/K9---15.4(3)M3---1,P2,TRUE,CVE-2017-6665,CSCvd51214
4ebb04eb-9678-437e-ba8a-d062bff214c3,6/20/2020,Nant Aranwen,NEMAT,Skiptube,Cisco Catalyst 3650 Series,WS-C6506-E---12.2(18)SXF12a---2,P2,TRUE,CVE-2019-12643,CSCvn93524
42e6cf52-7d15-4cb0-876d-261e2b57a786,5/31/2020,Llyn Hendrecoch,EPAC,Photobug,Cisco Catalyst 3560 Series,WS-C3750X-48P-S---12.2(55)SE---1,P1,TRUE,CVE-2017-6663,CSCvj25124
9cace34e-b1af-4186-9cb5-220c4eb4cf1b,1/16/2021,Hencaster,EPAC,Buzzbean,Cisco Catalyst 3560 Series,WS-C4506-E---3.8.5aE---12,P1,FALSE,CVE-2019-12643,CSCvn29244
29b01876-c273-47ea-8ace-0f218234db13,3/5/2021,Holzensingen,AMUR,Tagchat,Cisco Catalyst 3560 Series,WS-C3650-24PS-E---Denali 16.3.5b---1,P2,FALSE,CVE-2019-1737,CSCvg48576
e9c932a2-0a6e-4c68-bcbd-ade9d2c2ef06,11/7/2020,Barfield,EPAC,Thoughtbeat,Cisco Catalyst 2960 Series,WS-C3650-48FS-E---03.06.09E---2,P2,TRUE,CVE-2019-1746,CSCvd40673
5bab583b-203c-446b-82f4-1f2b210e0ea2,1/23/2021,Parcbrith,APCG,Voomm,Cisco Catalyst 9300 Series,WS-C3750X-48P-S---12.2(55)SE---1,P3,FALSE,CVE-2018-0480,CSCvd73487
a8daf7f0-0624-4d65-9096-d6fd6ddc4bf7,12/2/2020,Parcrhos,APCG,Oyope,Cisco Catalyst 3560-G Series,WS-C3650-48PS-E---3.7.4E---1,P3,FALSE,CVE-2017-6663,CSCvd51214
169e8e49-d498-4331-a63a-c114fcf02525,11/16/2020,Oberberg,ASEAM,Bubblemix,Cisco Catalyst 3850 Series,WS-C3650-24PD-E---16.6.5---38,P1,FALSE,CVE-2017-6665,CSCvj25124
7167acd2-66ff-446f-8bdf-463002b1f894,5/7/2020,Dinas Llwynfach,AMUR,Topiclounge,Cisco Catalyst 3750-G Series,WS-C3850-48P-E---Everest 16.6.5---71,P2,FALSE,CVE-2018-0156,CSCvd73487
bc7b20e0-2f3f-449a-82ef-425c05bd3b52,8/25/2020,Moorwike,ASEAM,Kwilith,Cisco Catalyst 3850 XS Series,WS-C3750X-48P-S---12.2(55)SE5---6,P1,FALSE,CVE-2019-12643,CSCvo47376
443eefeb-c82e-441c-9e40-45d5c590c632,8/4/2020,Pellad,AMUR,Katz,Cisco Catalyst 3560-X Series,WS-C3850-12S-E---Denali 16.3.5b---2,P1,TRUE,CVE-2017-12240,CSCvd73487
daa9888f-caab-417f-a631-54eb91f62f96,6/11/2020,Kirchelsfels,AMUR,Zoomlounge,Cisco ISR G1,CISCO3925-CHASSIS---15.3(3)M5---18,P2,FALSE,CVE-2019-1737,CSCvd73664
7fb9a7e0-6a1c-4946-9293-e236e5d00b83,9/24/2020,Penfelin,APCG,Aibox,Cisco Catalyst 2960-S Series,WS-C3650-48PS-E---3.7.4E---1,P3,TRUE,CVE-2018-0156,CSCvo47376
de0cf929-2559-45d1-b888-278630def3a0,3/21/2020,Northhall Cross,AMUR,Jabberbean,Cisco ISR G2,WS-C3750X-48P-S---12.2(55)SE---1,P1,TRUE,CVE-2018-0156,CSCvn29244
e5830964-2176-4428-8f93-eb87ab15cecf,9/10/2020,Baernshos,ASEAM,Podcat,Cisco Catalyst 4500 Series,WS-C3650-24PS-E---Everest 16.6.5---1,P1,FALSE,CVE-2017-6663,CSCvd40673
7ad27873-2e7e-45a4-a719-748a305f43e2,9/6/2020,Hen Bryncelli,EPAC,Dazzlesphere,Cisco Catalyst 2960 Series,WS-C3650-24PS-L---3.6.6E---984,P1,TRUE,CVE-2019-12657,CSCvn93524
135b75d5-3038-45f8-a041-bba1ebe935cb,8/8/2020,Olaesthor,NEMAT,Oloo,Cisco Catalyst 3850 XS Series,WS-C3850-24XS-S---16.6.5---3,P2,TRUE,CVE-2018-0167,CSCvh13611
db3a63c4-7616-4057-b512-9f3f4cded841,12/29/2020,Konigsenfurt,NEMAT,Skipfire,Cisco Catalyst 3750-X Series,WS-C4506-E---3.6.2E---174,P1,FALSE,CVE-2018-0475,CSCvd51214
aa76f692-e1a6-4459-adae-0bae541695e6,7/12/2020,Ystradfawr,NEMAT,Edgeclub,Cisco ISR G1,WS-C3650-48PS-E---3.7.4E---1,P3,FALSE,CVE-2018-0171,CSCvd40673
12652336-45ed-46ca-a731-8b91418f357c,3/11/2021,Guildwick,AMUR,Tagpad,Cisco Catalyst 2960 Series,WS-C4506-E---3.6.2E---174,P2,FALSE,CVE-2017-6665,CSCvn93524
3f497e8a-b0b9-402f-ba2d-0193ae46e727,9/7/2020,Harlaur,NEMAT,Shufflester,Cisco Catalyst 3560-X Series,WS-C2960S-48FPS-L---12.2(55)SE5---5,P3,FALSE,CVE-2019-12657,CSCvo47376
506db4c6-2227-4327-b89a-e075b07ee34a,5/3/2020,Oulhall,ASEAM,Dynazzy,Cisco Catalyst 9300 Series,WS-C3650-24PS-E---Everest 16.6.6---1,P1,FALSE,CVE-2018-0167,CSCvh13611
abcb0715-ca3e-4bd7-adac-a5baf7eb3b8d,9/28/2020,Ostwald,EPAC,Kimia,Cisco Catalyst 2960-S Series,WS-C3750X-48P-S---12.2(55)SE5---6,P3,FALSE,CVE-2017-12240,CSCvo47376
d897bd1b-f70b-4ae7-abf8-a6d65e442d6c,6/19/2020,Holzensingen,APCG,Layo,Cisco Catalyst 3560-G Series,WS-C3650-48FS-E---Everest 16.6.5---56,P3,FALSE,CVE-2018-0156,CSCvj25068
35817d85-7d0c-4a14-87dc-a4b276127df0,9/3/2020,Gwernffynon,APCG,Edgeify,Cisco Catalyst 3560-G Series,CISCO3925-CHASSIS---15.3(3)M5---18,P2,TRUE,CVE-2019-12643,CSCvn93524
76d75130-810f-41ca-b385-cbc2bef72f8a,2/5/2021,Langmere,EPAC,Oyondu,Cisco Catalyst 3560 Series,WS-C3650-24PS-E---03.06.06E---995,P3,TRUE,CVE-2017-6663,CSCvd73664
